"","x"
"1",0.133078057009286
"2",0.0770487359003863
"3",0.072951510836208
"4",0.0695474026207616
"5",0.0631089218264004
"6",0.149766948161634
"7",0.0832486549912793
"8",0.170214996873334
"9",0.0966009449319394
"10",0.0699443418729638
"11",0.0843575158977004
"12",0.0648914104462818
"13",0.068449222158503
"14",0.0823837382286349
"15",0.112624490707731
"16",0.117699964412098
"17",0.138070525322566
"18",0.0638964565953652
"19",0.0922244812873633
"20",0.129256310384203
"21",0.0507989479073094
"22",0.131734027711289
"23",0.0576538076733735
"24",0.0644539983531571
"25",0.0477564879654335
"26",0.0343807553862345
"27",0.185755925889958
"28",0.0658329965717729
"29",0.104502343217693
"30",0.134448616933025
"31",0.0969664674519446
"32",0.0746622866388108
"33",0.11651956147607
"34",0.0569623261782608
"35",0.181954865702469
"36",0.0609028199255036
"37",0.0546769617694016
"38",0.0759760245817696
"39",0.126852561678545
"40",0.101494910797772
"41",0.0624044702512002
"42",0.0599490114110071
"43",0.0787086989693717
"44",0.0821450679744652
"45",0.0673502382526835
"46",0.059029671548484
"47",0.0811846487068216
"48",0.0380827053620555
"49",0.108128880903417
"50",0.107394794602508
"51",0.0909306236762247
"52",0.0713119500513699
"53",0.0661975641545303
"54",0.188097086758128
"55",0.0395850767669561
"56",0.103699531938778
"57",0.098140838829035
"58",0.09663040030464
"59",0.105157274764685
"60",0.0680724170775334
"61",0.0681587091079028
"62",0.123980472944617
"63",0.0796434423857567
"64",0.0760769858825072
"65",0.154967589616819
"66",0.130487190891636
"67",0.0667462623611267
"68",0.0605195670741923
"69",0.13924791743887
"70",0.0706574630097754
"71",0.0697568053602824
"72",0.0687832773360976
"73",0.126069290633479
"74",0.11938269933984
"75",0.0395534853342764
"76",0.0807077397359145
"77",0.152384714680577
"78",0.0833204646901442
"79",0.112831230222157
"80",0.095271515824464
"81",0.0943339190284145
"82",0.0466333512878874
"83",0.0446881778089309
"84",0.0780448132598202
"85",0.0526871503093592
"86",0.0705619885251517
"87",0.154962024560336
"88",0.073535480764068
"89",0.13877270603582
"90",0.0807023723971654
"91",0.0669284367705338
"92",0.142090799876261
"93",0.101574993778898
"94",0.076551602544438
"95",0.0725394004844313
"96",0.0826116876499365
"97",0.0963377492091514
"98",0.0886096485811106
"99",0.0730027581643572
"100",0.0404520472876796
