"","x"
"1",0.126850629217668
"2",0.200882808551319
"3",0.144112014376646
"4",0.14237656369724
"5",0.147046574515444
"6",0.124821392593505
"7",0.139704455651373
"8",0.172739710915576
"9",0.132839565226357
"10",0.152255843946793
"11",0.118883070648721
"12",0.146245371057613
"13",0.120052981159926
"14",0.128055007144562
"15",0.120869466309421
"16",0.131284185256883
"17",0.131115000590887
"18",0.102314804696456
"19",0.12716420190991
"20",0.120064840403556
"21",0.198868777081007
"22",0.218362196936907
"23",0.181170026577928
"24",0.115801718755323
"25",0.141798833426762
"26",0.119633750646034
"27",0.208487375784028
"28",0.157473603083554
"29",0.148382313213427
"30",0.143833325193159
"31",0.120681948741776
"32",0.11947983954744
"33",0.123035225972853
"34",0.128905816688362
"35",0.170449375488488
"36",0.140010514243675
"37",0.146505185204778
"38",0.108456336445036
"39",0.176694238127663
"40",0.140191759993068
"41",0.112430082999156
"42",0.137394911614604
"43",0.120384680540908
"44",0.134950648119661
"45",0.212265068582362
"46",0.13002305279414
"47",0.165838419839685
"48",0.134337157111307
"49",0.157275944928491
"50",0.146609959639408
"51",0.11719758065265
"52",0.131630013671511
"53",0.141887226436701
"54",0.130898118596627
"55",0.120125764270455
"56",0.19764224385309
"57",0.126348012040696
"58",0.125545784857109
"59",0.15010297129783
"60",0.123280872717684
"61",0.121533551848638
"62",0.126867895421811
"63",0.134825037346432
"64",0.13846717663068
"65",0.125137279365826
"66",0.150552886400711
"67",0.120780604067228
"68",0.172341936315849
"69",0.128532724569672
"70",0.111358621143118
"71",0.149019440322884
"72",0.136129378136798
"73",0.206299232946585
"74",0.118772465040233
"75",0.113136712105812
"76",0.134835709698423
"77",0.105691163368057
"78",0.151971882644978
"79",0.153075016106883
"80",0.133444174328802
"81",0.135161431718681
"82",0.146393629915934
"83",0.127173673874276
"84",0.158763866769138
"85",0.162140482702451
"86",0.121770301754529
"87",0.1645647240975
"88",0.11743695894337
"89",0.125947007847844
"90",0.139390946588272
"91",0.149947078963879
"92",0.163690479610226
"93",0.126702218204134
"94",0.127355936469182
"95",0.152962782863591
"96",0.132520974696874
"97",0.125883465391043
"98",0.13442000792819
"99",0.117149559277669
"100",0.142637709498123
