"","x"
"1",0.0884300260456214
"2",0.0057302700718852
"3",0.0177378538425405
"4",0.0723903313621044
"5",0.103772044915194
"6",0.0535561427713055
"7",0.0309727401827591
"8",0.0740636808889795
"9",0.137250817267161
"10",0.0010130189811276
"11",0.0763056550421667
"12",0.123430522823466
"13",0.116193770845883
"14",0.233014433874475
"15",0.108936294477945
"16",0.124895104431634
"17",0.14489088264989
"18",0.173299901374194
"19",0.0360846237407664
"20",0.162566988916716
"21",0.0118751397904104
"22",0.014328073308531
"23",0.0655875942501898
"24",0.13319300303292
"25",0.00758674884414212
"26",0.0500564919468864
"27",0.0508803355335542
"28",0.0174960220001564
"29",0.0204060006160826
"30",0.0897454836638367
"31",0.108760325722396
"32",0.107447059009817
"33",0.106600275203835
"34",0.107483594064455
"35",0.0741461994289987
"36",0.0125453399514726
"37",0.0983747853103438
"38",0.177045356161858
"39",0.0641078339060285
"40",0.181967358733014
"41",0.0817311922170399
"42",0.104108452763512
"43",0.0838004337992886
"44",0.111847478615227
"45",0.00806136754967846
"46",0.194787100866517
"47",0.00407464009609515
"48",0.0362324450372739
"49",0.0040953271707681
"50",0.0361174883991641
"51",0.18608094865485
"52",0.0611221926577054
"53",0.154965732856784
"54",0.117621075493948
"55",0.0945144830269835
"56",0.00465575818967134
"57",0.151090544531464
"58",0.119116613281805
"59",0.0178515968336495
"60",0.0225069734888877
"61",0.120732503193143
"62",0.151615643835921
"63",0.141748374291318
"64",0.0620166039921692
"65",0.168024485452093
"66",0.156740433648422
"67",0.128976062182795
"68",0.0560146431747413
"69",0.104650401868608
"70",0.171969712505233
"71",0.0152246381967803
"72",0.172791423776482
"73",0.0171705518331229
"74",0.157462117109937
"75",0.0888928332685718
"76",0.0907057224624596
"77",0.138810791073887
"78",0.135780537419535
"79",0.0114075429370311
"80",0.0945093034677364
"81",0.163877705546713
"82",0.0160917471421571
"83",0.113635084310146
"84",0.0541664558301309
"85",0.0299930799973768
"86",0.121657071285114
"87",0.00202380684997261
"88",0.11666757037973
"89",0.149769530489387
"90",0.206745077085928
"91",0.0959385621646266
"92",0.120690332561002
"93",0.0233757777508137
"94",0.126012348565824
"95",0.17863077808613
"96",0.113799666553912
"97",0.105631405205332
"98",0.111858312397672
"99",0.10588655409359
"100",0.0332679393798434
