"","x"
"1",0.037646483205933
"2",0.0623500741976416
"3",0.0460602306968989
"4",0.0376275473803898
"5",0.0911748770160686
"6",0.106361589225556
"7",0.083077016914943
"8",0.0439402842432889
"9",0.0689842015711201
"10",0.0231388354089105
"11",0.0161413843076077
"12",0.0242594608603407
"13",0.0938189766435028
"14",0.0274307052064777
"15",0.0359852089621144
"16",0.0806450808601186
"17",0.0401797242941423
"18",0.0254956253436192
"19",0.00672449786666451
"20",0.0338410365926566
"21",0.0565145238190838
"22",0.0364465115845646
"23",0.0489455435435299
"24",0.0454542145010323
"25",0.106298879128834
"26",0.140247285922322
"27",0.00704082342590617
"28",0.0315087075391383
"29",0.110136420543205
"30",0.0463548418522716
"31",0.057952170549074
"32",0.017941224129647
"33",0.0877467485125742
"34",0.0218074626314456
"35",0.0922866607556503
"36",0.0608521070942493
"37",0.0464829763852372
"38",0.00754456092277767
"39",0.0296389831993461
"40",0.0112685805385189
"41",0.101791399976646
"42",0.108416641355969
"43",0.0461620917910589
"44",0.0796054486135522
"45",0.0314202487513952
"46",0.129209183152518
"47",0.00675641872799471
"48",0.0819462827948207
"49",0.0668732872211645
"50",0.0201998952242017
"51",0.00673441877024916
"52",0.0360374711610534
"53",0.00577233374453712
"54",0.0443404846063826
"55",0.0235008972121215
"56",0.140245682407251
"57",0.066365681206791
"58",0.0498769449296075
"59",0.0767819970972442
"60",0.039915070357711
"61",0.0697518500458019
"62",0.0665906817119262
"63",0.151268904420219
"64",0.0380509849055805
"65",0.0505124486213514
"66",0.0637990900964581
"67",0.0535283473290246
"68",0.157827434505372
"69",0.0259094128960452
"70",0.0427137714574605
"71",0.0849468858014927
"72",0.0151359880628377
"73",0.0328957976627067
"74",0.0471128989405938
"75",0.132932737946333
"76",0.0768598920540655
"77",0.0546697605564787
"78",0.0786306459375491
"79",0.077744187456993
"80",0.0164984068056602
"81",0.0565186399304007
"82",0.00721507027036916
"83",0.077695978666167
"84",0.0508967066281945
"85",0.0249207785859883
"86",0.0208326320822644
"87",0.0334298938830243
"88",0.0436774994902621
"89",0.0125462860588611
"90",0.0302433140648594
"91",0.0878638374087769
"92",0.071735078493696
"93",0.0258054449798545
"94",0.0318403573969995
"95",0.100648948391565
"96",0.0428438891774312
"97",0.0449355833457851
"98",0.0521814028836559
"99",0.142218787002518
"100",0.0412870815339157
