"","x"
"1",0.00564429325952809
"2",0.00287723224293612
"3",0.00652224922076483
"4",0.00530418911582275
"5",0.00408519137750973
"6",0.00382156689244506
"7",0.00350986375471818
"8",0.00429042829830961
"9",0.00349682527746453
"10",0.00807259494593671
"11",0.00316595035949219
"12",0.00642443336390264
"13",0.0064066312291402
"14",0.00784526361184212
"15",0.00615461335456324
"16",0.00540332748812522
"17",0.0078649241257156
"18",0.00429270511534641
"19",0.00345925053629281
"20",0.00288587486504044
"21",0.0077531262263445
"22",0.00559668835030425
"23",0.00555045109782937
"24",0.00519981377985312
"25",0.00397111331163802
"26",0.00845692436247247
"27",0.005855604877125
"28",0.00531929937386633
"29",0.003640647894116
"30",0.00334771735723971
"31",0.0055253525730623
"32",0.00611475417759799
"33",0.00419640912007357
"34",0.00779892567778573
"35",0.00633538853772908
"36",0.0073720501167106
"37",0.00876988252044397
"38",0.00639087828498341
"39",0.00627350687555928
"40",0.00562584886065143
"41",0.00880811492533784
"42",0.00461304681871466
"43",0.00630552265386564
"44",0.00631018301725417
"45",0.00593608722178018
"46",0.00387523403367362
"47",0.00509941262760871
"48",0.0032395904983834
"49",0.00406087462812388
"50",0.00591350822973113
"51",0.00505860123352786
"52",0.0076735295774073
"53",0.00581892731493638
"54",0.00419592188693385
"55",0.00391279031726521
"56",0.00568484872635677
"57",0.00480668399573814
"58",0.00425310871156026
"59",0.00769331787690375
"60",0.00842767465188177
"61",0.00700673746300629
"62",0.00401749725262002
"63",0.00650959334339474
"64",0.0036495966030704
"65",0.00645493170708888
"66",0.00446588534631243
"67",0.00565741824211485
"68",0.00801461428232686
"69",0.00496091987341385
"70",0.00755755601606067
"71",0.00513284817344994
"72",0.00508313374167912
"73",0.00790443362324134
"74",0.00441769963026417
"75",0.00581794356456367
"76",0.00301457974183028
"77",0.00553498301294275
"78",0.00525666635046507
"79",0.00506343001548415
"80",0.00694557510936555
"81",0.00431201732445308
"82",0.00568997643720381
"83",0.00507156201268089
"84",0.00575662438771629
"85",0.00444697990013287
"86",0.00647762552764342
"87",0.00366021850152976
"88",0.00501633171524241
"89",0.0037152914436247
"90",0.00377785993483937
"91",0.00298547480337974
"92",0.0060381309980192
"93",0.00697938694890732
"94",0.00388200136375827
"95",0.00729776646129077
"96",0.00339848622779138
"97",0.00453874054243164
"98",0.00767616279310279
"99",0.00728878959121348
"100",0.00367524586195278
