"","x"
"1",0.0541953067128162
"2",0.0183943080624394
"3",0.0105567885141035
"4",0.0277666572932993
"5",0.0566150984802078
"6",0.0441028337266204
"7",0.0291778367529805
"8",0.0430390222508413
"9",0.0643067220758408
"10",0.0367610312191653
"11",0.0278718905400051
"12",0.0800844707483266
"13",0.0440188673619021
"14",0.0232381897373906
"15",0.0776095678786124
"16",0.0447824387409332
"17",0.0335307115024849
"18",0.0464999598989094
"19",0.0399995263174872
"20",0.0523270213539198
"21",0.0467875432764142
"22",0.0281537785910461
"23",0.0295553477706498
"24",0.0669559743789564
"25",0.0721759798968894
"26",0.11489183682847
"27",0.0145353524410211
"28",0.0232462163152335
"29",0.0497792651108303
"30",0.0342057694917577
"31",0.0322446333199522
"32",0.0211592165177116
"33",0.0361545350651116
"34",0.030750996305579
"35",0.0780131591764206
"36",0.0611850434195419
"37",0.0329985917835939
"38",0.0912392630261235
"39",0.0482210120497434
"40",0.0129134420084327
"41",0.0345636640392033
"42",0.0362203890163426
"43",0.0475089546671241
"44",0.0243660512776237
"45",0.0279610427427068
"46",0.0523495664896796
"47",0.0167057429130654
"48",0.0784930850009465
"49",0.052952304526334
"50",0.0574102404194848
"51",0.0258633984436577
"52",0.0416179199248263
"53",0.0763476367385745
"54",0.0324363010778503
"55",0.0772235776289754
"56",0.0674184484808571
"57",0.0478121403153117
"58",0.0219208102263632
"59",0.0561279026934089
"60",0.0611102933777233
"61",0.0655414349807847
"62",0.110648945793333
"63",0.0522748999889101
"64",0.0175040763318768
"65",0.0828123594884569
"66",0.0385198858453547
"67",0.0543387615221792
"68",0.079812131153325
"69",0.0276924502012864
"70",0.0453125510136431
"71",0.0411647749783078
"72",0.0295110576451387
"73",0.036741225173632
"74",0.0434328192445163
"75",0.0265044219677487
"76",0.0278063572683741
"77",0.0207087114146136
"78",0.0384941419958085
"79",0.025586514744979
"80",0.0443233436598672
"81",0.0205971300357005
"82",0.0180009077684813
"83",0.0604030825249096
"84",0.0692966711977105
"85",0.0403111233808304
"86",0.0312395758985597
"87",0.0207106093738487
"88",0.00743774347978798
"89",0.0345125565152736
"90",0.0305353155182873
"91",0.0291095372814443
"92",0.0658671988765466
"93",0.0402713579467636
"94",0.0162065015909181
"95",0.0523502588118613
"96",0.014651963984735
"97",0.051700523666793
"98",0.023162469592254
"99",0.0611734686369619
"100",0.0531121068092593
