"","x"
"1",0.0745288905654282
"2",0.00761352088849054
"3",0.0168490908636174
"4",0.0658906509370373
"5",0.106788184796802
"6",0.0260449151734614
"7",0.0349017435267459
"8",0.030788794322684
"9",0.0784240103801505
"10",0.0199229649238603
"11",0.0755561500800238
"12",0.073567326405765
"13",0.140559623464846
"14",0.230966838075859
"15",0.0928608828941854
"16",0.114695735996387
"17",0.154880224983345
"18",0.159942799603627
"19",0.0512273382061916
"20",0.158062698316102
"21",0.00972331189994036
"22",0.0107685481884773
"23",0.0646565046605138
"24",0.155743149553936
"25",0.0266743611150206
"26",0.0481656694067409
"27",0.0201890651030912
"28",0.00957174734531108
"29",0.0721554756975952
"30",0.0616039766001246
"31",0.130968460120314
"32",0.0929321662771803
"33",0.104755620452482
"34",0.0845328832659543
"35",0.063262325528347
"36",0.00180899719660188
"37",0.0991901963349917
"38",0.175333991464395
"39",0.0419300639991182
"40",0.097083772877454
"41",0.0809573760941811
"42",0.0948324452048493
"43",0.0511224399250667
"44",0.0943583341968758
"45",0.00193792343247379
"46",0.196870657579948
"47",0.0200328922026182
"48",0.0268996400195326
"49",0.010556358542362
"50",0.00976251788267413
"51",0.117832476605257
"52",0.0599710885276287
"53",0.102180187136853
"54",0.0901309755948001
"55",0.0933050567716049
"56",0.0117179129535119
"57",0.144469377228283
"58",0.124494195409803
"59",0.00426233681268673
"60",0.0142273722876246
"61",0.0833790741065635
"62",0.147689993591098
"63",0.0775546291905644
"64",0.150688925727098
"65",0.158118681865895
"66",0.0106804952133024
"67",0.0838482750822751
"68",0.0915962699964656
"69",0.0575588709290923
"70",0.157687710986308
"71",0.0116077362469427
"72",0.181585704194541
"73",0.0100651642906507
"74",0.181286666054804
"75",0.0762146711967899
"76",0.0838929630155447
"77",0.123099116922863
"78",0.0340747760358915
"79",0.0333097333625871
"80",0.0799756135271243
"81",0.189600207068972
"82",0.0494036941936437
"83",0.0977691025091209
"84",0.0798380628293884
"85",0.0312786457629465
"86",0.123646598819775
"87",0.0220213150237217
"88",0.085116674489358
"89",0.139911272339034
"90",0.196395616745626
"91",0.0337923958164861
"92",0.202974178294556
"93",0.0103608607972347
"94",0.0440198904552215
"95",0.114261675480107
"96",0.139316412583894
"97",0.0525317918636243
"98",0.0969298927497937
"99",0.102390888677326
"100",0.0291947549713902
