"","x"
"1",0.00546734490852607
"2",0.0132104633739624
"3",0.00683049316325057
"4",0.0118051850394069
"5",0.00498420001918276
"6",0.00526174830813575
"7",0.00811971372290088
"8",0.00386436177431604
"9",0.00821827686199283
"10",0.00656482836439942
"11",0.0113064047463649
"12",0.00431548173961505
"13",0.00621385720132983
"14",0.0100341068095624
"15",0.00677731156622052
"16",0.00892914500433051
"17",0.00555439503830724
"18",0.0113438575393341
"19",0.0107873800671815
"20",0.00440397003766912
"21",0.00876326421230755
"22",0.00576809121277244
"23",0.00459165504824666
"24",0.00354885522617909
"25",0.00833212132307726
"26",0.00492043035030232
"27",0.00903848544789887
"28",0.00744378215995645
"29",0.00614349160715522
"30",0.00721468940987191
"31",0.00804852834081293
"32",0.00772084231611814
"33",0.00536755651954179
"34",0.00582123438074789
"35",0.0145278789087926
"36",0.00425529178851058
"37",0.0101368878175527
"38",0.00705273752928126
"39",0.0115948707327134
"40",0.00961247248188157
"41",0.00641357023109479
"42",0.00565312101849758
"43",0.00760584982760582
"44",0.0028333374419609
"45",0.0111509773415345
"46",0.00330448281294504
"47",0.00602236226427755
"48",0.00831765253800687
"49",0.00468741390146643
"50",0.00903817502749726
"51",0.011530712801926
"52",0.0056123988264235
"53",0.00496247085101131
"54",0.00610049254311951
"55",0.00380159622981979
"56",0.0106174080730086
"57",0.00998633357396173
"58",0.00563073722111107
"59",0.00874845485379006
"60",0.00285944029153606
"61",0.0041270866060803
"62",0.0072888438706038
"63",0.00631891347899016
"64",0.0038955476032454
"65",0.00591862077076222
"66",0.00692201186655905
"67",0.00462684542777547
"68",0.00976764623600035
"69",0.00986503117555582
"70",0.00482397710368621
"71",0.00767047124827858
"72",0.00618609148584537
"73",0.0133774345104397
"74",0.00475758039919438
"75",0.00627674059411509
"76",0.00692188719176057
"77",0.00370371895067545
"78",0.0108386862399712
"79",0.00736571391001717
"80",0.00407785693443885
"81",0.005955699507602
"82",0.0084714534447875
"83",0.00535622372138256
"84",0.0095150263653313
"85",0.00827784040926427
"86",0.00526213532097786
"87",0.0095559279800862
"88",0.00639794124069248
"89",0.00743787304799692
"90",0.00666621881112084
"91",0.00695163526735898
"92",0.0080433763853367
"93",0.0105828612649131
"94",0.00661443038179688
"95",0.00745937394851937
"96",0.00605207855238188
"97",0.00519098575477595
"98",0.0133715183365855
"99",0.0130321530938606
"100",0.00399511547709319
