"","x"
"1",0.0281250440738229
"2",0.01136337331003
"3",0.0163320598986346
"4",0.0196074010896873
"5",0.0136363682333157
"6",0.0109959003387111
"7",0.0222714617717857
"8",0.0113663243492248
"9",0.0113924823541771
"10",0.0161489065817597
"11",0.0111905043142024
"12",0.00589382978412512
"13",0.0230906833639215
"14",0.0173493491280123
"15",0.0262690386170398
"16",0.0159832430819551
"17",0.0114205286803195
"18",0.0120633215797851
"19",0.0200901951333775
"20",0.0127912205724984
"21",0.0176338353782035
"22",0.0141670361094586
"23",0.00918560015897074
"24",0.0144205657305985
"25",0.0224259972116041
"26",0.0110624437933967
"27",0.0215554061126012
"28",0.0146963324386152
"29",0.00948148255390091
"30",0.00957064021049758
"31",0.0153584833943923
"32",0.0120259002972114
"33",0.00817115144367031
"34",0.0135019370366778
"35",0.00824818632382984
"36",0.0159223166278841
"37",0.0160788514364557
"38",0.0137567983478947
"39",0.0184124387555739
"40",0.0151383485164116
"41",0.0144330613953298
"42",0.012818421381334
"43",0.0149157686711239
"44",0.0205809845463495
"45",0.0119619572383768
"46",0.0138866508981687
"47",0.0128994001007672
"48",0.022878956626325
"49",0.0204506781475773
"50",0.010181791408462
"51",0.0238700461715935
"52",0.0125471345485108
"53",0.0146391081808592
"54",0.0148463593469008
"55",0.0139422527138757
"56",0.0153991752394755
"57",0.0168336565977729
"58",0.0101119041225366
"59",0.0100554141145113
"60",0.0231174492055644
"61",0.0176115135380999
"62",0.0277119125959415
"63",0.0163421750108369
"64",0.0144662511611047
"65",0.0278187503732318
"66",0.0146954023654058
"67",0.0179938461305447
"68",0.010893002790326
"69",0.0197015070082732
"70",0.0108969300801127
"71",0.00884936997933206
"72",0.0182639840172065
"73",0.0218776264310131
"74",0.00767694158484045
"75",0.0105680913676226
"76",0.0137151018486112
"77",0.0132956626804464
"78",0.00806420947228537
"79",0.0151864609452406
"80",0.0260197221078308
"81",0.0163625235792719
"82",0.0138117984533519
"83",0.0107542239810301
"84",0.0164970036799259
"85",0.0139915449714942
"86",0.0126788090746311
"87",0.0211797417794306
"88",0.00606304993764328
"89",0.0141330685206779
"90",0.0176674744217077
"91",0.0220974495653319
"92",0.0140555033852874
"93",0.00795848694536605
"94",0.0162097098681693
"95",0.00995335958314036
"96",0.00935386822160489
"97",0.0166401292114544
"98",0.00748994959392368
"99",0.00963041271517406
"100",0.0141647949000241
