"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"1",13453.9368705933,911.451347471599,844.128600097074,814.368773692188,792.810939458779,763.004185581855,744.93431524975,730.09642069487,714.86737452474,687.954945150506,670.632088550739,665.314458651365,655.016611726897,646.842404098594,638.626344531293,620.687591499286,610.114202172703,604.264472980868,598.870822547225,588.955516143219,581.336016720068,575.744273309317,563.58793504742,552.391220952994,547.280890945707,541.569692812057,526.100837286473,513.428395855307,509.318609398763,507.246172362882,492.44901405955,489.5557582078,485.137591455809,473.068734361543,467.868096766123,461.224285502184,459.178226995967,447.2151570686,441.861590207059,436.546615030536,428.219685929073,421.978207898022,418.650140457955,414.828934411132,410.548011924073,402.626524340792,394.785212298685,389.726241473301,380.676934888562,375.128161620147,372.896324819283,358.715585684846,354.861440154026,352.266855559561,348.20828368945,343.415658362583,328.471239787467,318.865123851302,316.010109162184,312.481860399438,304.359149799089,285.476807707375,283.999601572737,274.145848458708,261.402914085721,229.233269343727,218.112090730222,190.974258570565,187.531270911248,170.865590362151,144.91173333398,57.5531660090859
"2",13462.8041203529,912.263562170794,845.687591467374,813.464514154307,793.658093932784,760.969125542684,736.180987786976,724.946461093719,715.026652750832,701.640469986478,680.709290235595,674.775207567868,657.13647395918,638.90471043746,638.081392197271,621.003359990043,597.526195640582,591.863931054137,582.931001864115,578.873332842314,570.887704837653,568.344943514561,556.162685399418,544.830210672305,538.357207795952,530.418313835108,523.895527547364,516.106379368398,508.979582585652,505.386826243874,494.835624150133,488.380475102003,476.199528981336,467.884539427886,462.414227571884,458.457761368193,454.202373017207,440.45293193526,434.899310584275,431.383086327563,426.121961174838,415.47986093381,414.711425889772,407.117706201977,403.353052496013,399.24760084156,392.05220677531,391.08052942145,382.340399648415,372.065738604577,363.453608880595,361.327733822041,357.868306738736,350.902082906706,342.103647623193,336.343378831564,327.613466904674,325.288918512719,310.945758853587,307.910097649571,302.283891157263,297.897597028941,282.928736966771,268.894769778309,255.207599331837,237.980575169184,219.142878040279,210.433246002739,208.650751269301,162.636557979791,153.212093206786,23.5275976834177
"3",13416.4688702046,909.308040635425,843.030110612568,808.039775920551,793.690626583005,765.483373636244,736.421324831685,726.792867606802,710.991320059781,693.154014146194,672.986875392165,659.655986416464,652.38083125327,640.918541377014,639.235163744794,614.859084855465,613.124519671949,605.144971847036,587.081943604814,581.639179267301,575.964329090631,566.458835170963,559.151856767561,553.409880667535,546.994546167367,537.422801082059,519.308853570111,512.785411811653,506.216998421411,505.273593505446,503.253424582545,493.845948075516,487.488859608638,479.117617246378,469.089856245048,463.339668461112,456.962659465909,447.630609707039,437.077914696228,430.552818178541,427.181503050811,414.248835152302,410.077388708426,402.943066425851,401.519487529009,396.324105152742,384.447515648823,380.906146282042,374.762300641312,372.158186241188,367.280625643346,361.867540593847,356.933097464281,353.537767520636,337.218523823383,335.255241022258,329.429007426802,324.047449074955,320.075880876166,306.2396948423,301.304378860923,295.522068489369,282.875008298435,270.066361480352,256.751205733479,226.964890533786,211.170662228932,193.054479883081,176.210354953955,172.432088403841,156.1890608718,21.3806306418971
"4",13296.784117758,910.522105152266,840.728919368805,809.456258649263,796.431193503051,760.731175187895,730.039471647132,725.123330834046,710.031634025149,693.383300474363,665.041900376564,662.160575561234,654.719565858515,640.882769643467,630.736539689662,615.174610256827,607.360885605504,599.939106803328,591.746276500794,585.331284727319,573.882110690356,567.709609483414,555.1394874224,548.475268491109,539.954791761485,532.955191915347,521.833763723597,518.53355144401,513.86865295999,511.671450280032,497.469218137349,488.631677764105,480.049267307616,474.346971723658,466.549776555237,457.911429363597,457.175202453219,449.499308023998,447.367880958286,441.345966262237,427.385285111938,424.205437879254,415.655763314277,408.303406408062,404.871438891081,398.680604235658,393.817902062335,391.741710885211,384.46909641006,372.658012016554,367.039309253557,359.901413619421,345.911749568518,344.6334079631,337.336714766958,335.120066937424,326.657476965588,321.264527282105,315.635536172092,309.306589818298,299.643707366235,290.758914413704,276.725990083086,264.124775775349,252.639046977823,227.388639976173,212.482768280789,198.324783576704,175.654137789581,156.73578896728,151.044563441364,21.8235846741207
"5",13406.5909921287,911.778231934208,849.432145152072,811.029615031488,790.464434125672,762.143130512942,735.819047108751,725.222383670688,713.600994964818,694.784555374825,673.747470286003,658.453730245302,658.291879083371,643.608018100199,638.043685386175,617.979706333667,607.214903272004,601.484521972856,588.500607305094,583.33853346383,577.048622684537,569.730122733363,560.126968670469,552.768041598127,536.357000176999,532.290584899895,525.456266056668,520.839787922489,510.156390109172,507.070010137607,498.848218275015,491.343857187733,479.618913796643,475.111103588819,465.804567313608,459.649585949032,458.351804220696,450.742514469747,439.190772518183,435.232191583948,431.795299730506,429.313451351247,421.705241353683,416.001353708308,408.433893661373,406.268318301303,395.142325637671,382.326558944337,378.115458637609,375.70509213043,371.751188407678,364.444583121519,361.355758311325,346.844236884127,343.067108449332,339.655964689051,331.227457508596,330.12944154507,323.035072151582,309.309541443169,305.285128459532,299.311229454121,284.813091049037,271.839235049325,268.176408075721,251.565534831731,212.158894128101,201.912586685884,197.785795473223,177.07804012458,169.759688753827,80.4470283882241
"6",13440.7759706622,913.468546936503,842.032799674462,806.694948516504,793.986522508263,763.448872285622,729.970762073031,722.726913458688,715.254897400182,692.80411478602,678.010910130603,658.470882853055,652.458223757721,647.01544938296,642.220585136133,621.305421551753,604.355245023008,596.638123662691,585.850601666104,580.987146052404,579.815988350541,563.378552378609,556.332632785418,548.73491017352,541.249827561693,527.290891666899,522.871585338845,513.837941289043,505.884717259162,503.9290040809,498.846138718449,488.224787371273,478.906756105328,471.65652227844,468.667090224562,463.963549442345,455.927758942312,450.226747356758,446.875301067901,433.710693446363,428.376128036281,415.549574494671,414.31615311171,409.914943490762,403.398359276584,398.913922824721,392.065392893619,390.816778201464,384.052951653937,381.432134716363,366.648167110565,359.548859157045,354.884065437605,343.151539909881,341.572083643826,332.578722821448,329.247472056603,320.137925188986,316.795085958234,312.525702549935,306.174431664107,300.789558732921,287.434244549056,268.274957469999,253.967572818077,237.859175587734,226.699416344205,206.211240561813,185.283879492711,162.273386701661,149.757824985707,23.1883804028761
"7",13409.3825866185,913.996504407278,847.999026716882,811.77265721988,795.556651420566,763.055182466152,730.950546878512,725.588930138722,714.095767707806,692.613338127259,682.614683971793,659.601128928679,649.670782640423,641.51659611745,626.846060871338,611.398797787292,607.573530372471,600.105104745554,590.55875603736,583.626162424745,576.829195581641,571.787083397931,547.697082389481,543.017686264831,530.779832029934,528.775922547725,517.488697685683,515.155878813189,500.418135331007,492.214037042141,490.991525506465,487.615220816936,476.356579771451,465.656940113759,462.029759468511,457.842098222412,451.376317474328,448.11273344832,442.219207812146,436.761724408263,421.554122099236,419.419094576064,411.850231786913,411.269842053055,401.822116791,398.532295830965,389.326471274827,383.588194330622,378.827254952195,375.429661759006,367.95433626233,365.514380963284,356.841233562694,353.249057200619,337.957065498877,328.000525783157,326.535099787611,312.692572204897,304.196524481462,301.403338122717,299.125780518497,290.634547564106,282.36174038613,270.661363619764,257.465260738834,233.938649759229,217.520710047353,199.547313866302,172.687412249679,168.963687265842,157.038961648454,61.7697139503703
"8",13426.5329717324,911.152080516319,843.605638393087,818.31801805583,794.203008057784,762.912443333015,736.346043091699,727.6653300246,714.994370044705,691.979286262104,678.931479635003,674.045675910107,654.586518174979,640.27702825542,630.987016319757,616.333954071171,606.502806348072,600.990532167125,591.434318490898,581.050167218072,576.057895552081,574.385890557057,549.088002260694,544.406085394038,538.661136402146,531.782432279122,530.810383260291,517.065182098174,505.198378116908,496.594626692273,492.490302197668,484.429686457164,473.169822544867,465.886219764761,462.966586030267,455.237224905344,449.470371557704,445.717835926841,436.817935350248,434.782005782433,421.6020206075,412.04482568271,408.710720351733,406.26282903903,402.373176233695,396.11803974687,391.234058782273,387.039705178828,378.052019100369,366.401092691502,363.262243804428,359.427294747241,356.654515781892,343.400485561129,340.529178109462,333.230186147809,328.611917145407,323.566808445509,316.803315872107,308.889319526454,303.104963421721,283.948914651364,282.698686992073,276.270008973103,268.535607122269,241.242448280585,234.497140276208,180.448429264326,163.229765934791,159.770692554714,142.029175165492,20.101434170223
"9",13454.5399927129,910.869946043743,845.348903828068,807.619731512971,790.321908475509,758.082750083714,726.34560711771,723.443351512184,713.817871134529,685.953727393398,673.659328830306,664.7454746815,661.582900150705,652.165763195898,633.883994004655,619.617162566671,611.014895801928,602.092013297711,585.753052942424,581.881697344851,574.263647788741,568.864198684499,555.734728992046,555.607244177993,546.637487636443,530.214152210158,525.245013508013,514.102272350558,512.88820380287,506.595046905646,495.56968199701,491.700087959509,484.992517085851,477.298161822543,476.62412808059,470.172415899585,459.157143732738,449.744312415178,443.477934458864,436.027924529442,430.436827160099,426.988756341838,424.529546451255,411.795968923157,407.856917210511,404.786323689075,396.656709083345,393.355824563111,388.41493431931,381.126597552861,374.7152312236,370.883927522618,364.086502466137,362.7651013701,358.783394698771,347.84742801881,336.128819166894,333.366714824262,320.122425511738,318.1708386819,312.496210635352,291.735095497457,290.239367762862,277.289099679383,258.93760134195,243.004834941789,221.899207855255,190.88140546556,180.083263475623,165.504256774738,163.997630651391,30.1334480179544
"10",13495.6154929,911.041800243433,841.473232329981,810.161609421808,789.988127382971,765.004705931827,737.890041959006,732.711510100684,707.561929345139,695.205698310296,677.492679208661,662.387660135849,653.352003355524,646.07072477964,638.374640966501,619.834679113073,607.82249172091,603.494379264344,591.500937425773,588.674341270527,577.812565155887,571.329028332282,551.595895138222,546.770180307233,531.952532725278,529.49199702371,523.658693702727,514.684824639091,510.252003095808,499.37526961966,494.121689346234,485.230099392217,474.031487790305,471.566270984426,467.590976104497,457.77985316415,453.482441059383,445.378297207047,434.533110808484,432.0755729236,427.625112726817,423.784704527028,414.495732372219,408.748514144471,405.028136716501,402.429979203403,399.99579276124,384.3247148435,381.408059604644,378.368425654149,370.016012154498,359.953962682132,356.652424789755,352.732201140051,348.366193561166,344.568011688507,340.486163599203,326.083983735395,321.501152353594,309.597880726095,307.559967588583,305.932676184082,290.44262165375,280.794874884085,267.984628200125,246.810546569902,227.417672460428,211.662481089833,176.860500932089,158.751507836857,142.721801794391,40.4735231200446
