"","x"
"1",0.0236616293706616
"2",0.0152943994801492
"3",0.018186380983241
"4",0.0221354662395569
"5",0.014523766363769
"6",0.0152127668918843
"7",0.0272345140995671
"8",0.0133336654482484
"9",0.0128492999270073
"10",0.0152851541339613
"11",0.0153879298372011
"12",0.0116385730838056
"13",0.0253140152323771
"14",0.0203503153788521
"15",0.0269662108330194
"16",0.0194990513463507
"17",0.0148702472074878
"18",0.0137208785245958
"19",0.016943944489497
"20",0.0145289783890445
"21",0.0184477322765302
"22",0.0161750704770864
"23",0.0130311842192564
"24",0.0181710467043845
"25",0.0188065887730907
"26",0.0116774183618837
"27",0.0194120484791566
"28",0.0137768348815164
"29",0.0125019729107834
"30",0.0147277404957655
"31",0.0158111127542083
"32",0.0143748369954317
"33",0.0100281147811457
"34",0.0123307897472742
"35",0.0132343842427292
"36",0.0206470935669623
"37",0.0211012002007629
"38",0.0197014100096791
"39",0.0236267884792777
"40",0.017187836069795
"41",0.0169966145591828
"42",0.014383218237996
"43",0.0164025707030815
"44",0.022597633914637
"45",0.0145521684632888
"46",0.0168954190790827
"47",0.0157326530526131
"48",0.0179918823875514
"49",0.0204196197137928
"50",0.00950964049188319
"51",0.020682875875881
"52",0.0153219467486807
"53",0.015741382008799
"54",0.0159700692281382
"55",0.0185845640324417
"56",0.024203870474739
"57",0.0183885851905271
"58",0.0132324893295435
"59",0.0121644287473422
"60",0.0229151182152286
"61",0.0172810301737146
"62",0.0279072985504072
"63",0.0159876534135385
"64",0.0150508215676987
"65",0.0255664294696647
"66",0.0143273490179497
"67",0.0141380315479994
"68",0.0134129750540611
"69",0.027397860095818
"70",0.0158223876138178
"71",0.021003058866454
"72",0.0181994454754805
"73",0.023931283920319
"74",0.0108844025910451
"75",0.0138647848888468
"76",0.0161255971907486
"77",0.0179130185297803
"78",0.0115757141509129
"79",0.0186886682212363
"80",0.0276526226854873
"81",0.0180856696490602
"82",0.0170343709579013
"83",0.0144730555558792
"84",0.0196771904586159
"85",0.0142089654722023
"86",0.0163127734545331
"87",0.0209779668841521
"88",0.00821128949659722
"89",0.0157631166327181
"90",0.0140039897010399
"91",0.0218786639397661
"92",0.0162480548848629
"93",0.0138084974100529
"94",0.0167704426050647
"95",0.0184392446134124
"96",0.0124993629236129
"97",0.0201210702131441
"98",0.0171597728888699
"99",0.0113254965463252
"100",0.0159473736463265
