"","x"
"1",0.0712336759834417
"2",0.0458587737192127
"3",0.0331794070209871
"4",0.0495951698525338
"5",0.0844491820911288
"6",0.0477851452166665
"7",0.0550586074857718
"8",0.0652087153201752
"9",0.0674134177744129
"10",0.0645789181814453
"11",0.0651324325500954
"12",0.0837064949158278
"13",0.0464403942090947
"14",0.0492303240612337
"15",0.0990475103690276
"16",0.0562044068526236
"17",0.0442750878682414
"18",0.066599133421912
"19",0.058101237867376
"20",0.0324349774600406
"21",0.0603190289822274
"22",0.0818467738816051
"23",0.0726740827326057
"24",0.0915595490291909
"25",0.0761757059115775
"26",0.1061129867383
"27",0.0329378482996262
"28",0.0285431150632552
"29",0.0407155608283249
"30",0.0504895507566396
"31",0.0286087922284236
"32",0.0468211582227051
"33",0.0493406180393121
"34",0.0823159546696977
"35",0.0894116860042282
"36",0.0650055036665692
"37",0.0554458329767346
"38",0.0876871948389215
"39",0.0751793117338837
"40",0.0394996309132389
"41",0.055790058796468
"42",0.0417983175743224
"43",0.0696337953715368
"44",0.0478131683879255
"45",0.0403863787921956
"46",0.0633844176874019
"47",0.0336727183188712
"48",0.0340072650975726
"49",0.0523322442498629
"50",0.047841403950702
"51",0.0338269260401483
"52",0.0593285405952948
"53",0.0712651783245627
"54",0.038342545621491
"55",0.128717660375777
"56",0.0685010346417501
"57",0.0610930437781928
"58",0.0359012345207083
"59",0.0534086619617823
"60",0.0858537317981977
"61",0.0808320817727882
"62",0.117510100644831
"63",0.0761357557496601
"64",0.0494205818026515
"65",0.100621558812538
"66",0.053980159949207
"67",0.0791747892753907
"68",0.0732070863334796
"69",0.0791601146161532
"70",0.0604351558994203
"71",0.0661769460129237
"72",0.0268036354872118
"73",0.0557466360513253
"74",0.053909016270119
"75",0.0246592881399414
"76",0.0275082784940218
"77",0.0506790134877253
"78",0.0548460010863833
"79",0.0784785059691673
"80",0.0936912011899173
"81",0.0424143738570119
"82",0.0196215451205541
"83",0.0698681478906155
"84",0.0814758694224978
"85",0.0372004448751475
"86",0.0293848499989402
"87",0.0579976098887844
"88",0.0543747120348456
"89",0.0542171321670023
"90",0.0438663149414187
"91",0.035510028664801
"92",0.0824857264736086
"93",0.0856625977445109
"94",0.0370111298285412
"95",0.0541404209779305
"96",0.0340901741710294
"97",0.065121281601208
"98",0.110706383376375
"99",0.106456836337029
"100",0.0465842150449316
